time_frame,start_dt,end_dt,t_start,t_end,Mean.R.,Std.R.,Quantile.0.025.R.,Quantile.0.975.R.
1,3/21/2020,4/19/2020,2,31,1.715816293,0.022358814,1.672703752,1.759443726
1,3/22/2020,4/20/2020,3,32,1.625814999,0.021476018,1.58355181,1.665480649
1,3/23/2020,4/21/2020,4,33,1.541208439,0.021375462,1.504009164,1.576775487
1,3/24/2020,4/22/2020,5,34,1.489287788,0.020053711,1.443642704,1.522532189
1,3/25/2020,4/23/2020,6,35,1.45917406,0.021638246,1.416142558,1.497458071
1,3/26/2020,4/24/2020,7,36,1.427516591,0.020030518,1.387879555,1.467661943
1,3/27/2020,4/25/2020,8,37,1.40271471,0.019075334,1.367699115,1.437610619
1,3/28/2020,4/26/2020,9,38,1.38381882,0.017846681,1.349778543,1.414468504
1,3/29/2020,4/27/2020,10,39,1.356609601,0.01709558,1.327883699,1.387631077
1,3/30/2020,4/28/2020,11,40,1.334875727,0.01550668,1.304899267,1.366002747
1,3/31/2020,4/29/2020,12,41,1.307616945,0.015404489,1.280753968,1.332958554
1,4/1/2020,4/30/2020,13,42,1.289604607,0.017000142,1.255782459,1.320765262
1,4/2/2020,5/1/2020,14,43,1.26698046,0.017595444,1.23461377,1.297753988
1,4/3/2020,5/2/2020,15,44,1.255430416,0.016558026,1.220733223,1.285045568
1,4/4/2020,5/3/2020,16,45,1.238160923,0.016932721,1.207780083,1.265767635
1,4/5/2020,5/4/2020,17,46,1.219005827,0.016057573,1.188414634,1.246341463
1,4/6/2020,5/5/2020,18,47,1.203477373,0.014826202,1.17903596,1.229934966
1,4/7/2020,5/6/2020,19,48,1.186350801,0.014839735,1.159287867,1.21139789
1,4/8/2020,5/7/2020,20,49,1.17177685,0.014592734,1.148395015,1.196771148
1,4/9/2020,5/8/2020,21,50,1.155208339,0.01479299,1.131038292,1.182308542
1,4/10/2020,5/9/2020,22,51,1.145365041,0.014095221,1.120230263,1.17255117
1,4/11/2020,5/10/2020,23,52,1.133053793,0.014361716,1.109361233,1.161251836
1,4/12/2020,5/11/2020,24,53,1.121774062,0.013839716,1.098560115,1.153761699
1,4/13/2020,5/12/2020,25,54,1.110522189,0.013709191,1.088732394,1.140880282
1,4/14/2020,5/13/2020,26,55,1.092366172,0.014126971,1.067397356,1.121259569
1,4/15/2020,5/14/2020,27,56,1.079886276,0.014826103,1.053277853,1.106657609
1,4/16/2020,5/15/2020,28,57,1.061848471,0.014778434,1.037382075,1.091677898
1,4/17/2020,5/16/2020,29,58,1.051128843,0.013443679,1.025303849,1.078392978
1,4/18/2020,5/17/2020,30,59,1.042189237,0.01313155,1.016272485,1.063774151
1,4/19/2020,5/18/2020,31,60,1.034965862,0.012870839,1.011809211,1.059243421
1,4/20/2020,5/19/2020,32,61,1.027514847,0.013983741,1.001854262,1.052081978
1,4/21/2020,5/20/2020,33,62,1.02146063,0.014285065,0.993499353,1.046086675
1,4/22/2020,5/21/2020,34,63,1.012976558,0.017075067,0.981915606,1.04564635
1,4/23/2020,5/22/2020,35,64,1.009154867,0.016344028,0.982059229,1.039652204
1,4/24/2020,5/23/2020,36,65,1.010438223,0.016758992,0.984743412,1.040291262
1,4/25/2020,5/24/2020,37,66,1.011935252,0.018367729,0.979089943,1.04654745
1,4/26/2020,5/25/2020,38,67,1.013405593,0.018728558,0.983309144,1.049764151
1,4/27/2020,5/26/2020,39,68,1.023297275,0.017613807,0.998180836,1.054863112
