"SI_mean","SI_sd","time_frame","start_dt","end_dt","t_start","t_end","Mean.R."
5,3,1,2020-03-21,2020-04-19,2,31,1.22648578928581
5,3,1,2020-03-22,2020-04-20,3,32,1.21505970956
5,3,1,2020-03-23,2020-04-21,4,33,1.26928570693218
5,3,1,2020-03-24,2020-04-22,5,34,1.29814715075683
5,3,1,2020-03-25,2020-04-23,6,35,1.26497480364884
5,3,1,2020-03-26,2020-04-24,7,36,1.24346980454785
5,3,1,2020-03-27,2020-04-25,8,37,1.21893544642573
5,3,1,2020-03-28,2020-04-26,9,38,1.1642018248762
5,3,1,2020-03-29,2020-04-27,10,39,1.15532006174686
5,3,1,2020-03-30,2020-04-28,11,40,1.1638381800502
5,3,1,2020-03-31,2020-04-29,12,41,1.17219868660342
5,3,1,2020-04-01,2020-04-30,13,42,1.16515149035559
5,3,1,2020-04-02,2020-05-01,14,43,1.15561479276492
5,3,1,2020-04-03,2020-05-02,15,44,1.13526403435354
5,3,1,2020-04-04,2020-05-03,16,45,1.10088204941676
5,3,1,2020-04-05,2020-05-04,17,46,1.13220795083701
5,3,1,2020-04-06,2020-05-05,18,47,1.13871274548093
5,3,1,2020-04-07,2020-05-06,19,48,1.12794178476204
5,3,1,2020-04-08,2020-05-07,20,49,1.09687941465041
5,3,1,2020-04-09,2020-05-08,21,50,1.09886395483958
5,3,1,2020-04-10,2020-05-09,22,51,1.08503105303912
5,3,1,2020-04-11,2020-05-10,23,52,1.06030484155889
5,3,1,2020-04-12,2020-05-11,24,53,1.06412944270475
5,3,1,2020-04-13,2020-05-12,25,54,1.07381059770142
5,3,1,2020-04-14,2020-05-13,26,55,1.07267504970521
5,3,1,2020-04-15,2020-05-14,27,56,1.08359046908041
5,3,1,2020-04-16,2020-05-15,28,57,1.07665238305087
5,3,1,2020-04-17,2020-05-16,29,58,1.05799552150875
5,3,1,2020-04-18,2020-05-17,30,59,1.05708055524739
5,3,1,2020-04-19,2020-05-18,31,60,1.05765596729193
5,3,1,2020-04-20,2020-05-19,32,61,1.0574272713716
5,3,1,2020-04-21,2020-05-20,33,62,1.05172512219364
5,3,1,2020-04-22,2020-05-21,34,63,1.00461952264361
5,3,1,2020-04-23,2020-05-22,35,64,0.968928257896737
5,3,1,2020-04-24,2020-05-23,36,65,0.960918356028449
5,3,1,2020-04-25,2020-05-24,37,66,0.94529869133595
5,3,1,2020-04-26,2020-05-25,38,67,0.929767774273712
5,3,1,2020-04-27,2020-05-26,39,68,0.946776606059367
5,3,1,2020-04-28,2020-05-27,40,69,0.939571479576891
5,3,1,2020-04-29,2020-05-28,41,70,0.930465947963516
5,3,1,2020-04-30,2020-05-29,42,71,0.908999818689431
5,3,1,2020-05-01,2020-05-30,43,72,0.900256695841045
5,3,1,2020-05-02,2020-05-31,44,73,0.885941482156921
5,3,1,2020-05-03,2020-06-01,45,74,0.908853064915867
5,3,1,2020-05-04,2020-06-02,46,75,0.930464998783957
5,3,1,2020-05-05,2020-06-03,47,76,0.912463633463689
5,3,1,2020-05-06,2020-06-04,48,77,0.913327780055763
5,3,1,2020-05-07,2020-06-05,49,78,0.91500132433464
5,3,1,2020-05-08,2020-06-06,50,79,0.931452825678768
5,3,1,2020-05-09,2020-06-07,51,80,0.923253634823197
5,3,1,2020-05-10,2020-06-08,52,81,0.963726839606303
5,3,1,2020-05-11,2020-06-09,53,82,1.00297058405408
5,3,1,2020-05-12,2020-06-10,54,83,1.03232322124891
5,3,1,2020-05-13,2020-06-11,55,84,1.05184626632924
5,3,1,2020-05-14,2020-06-12,56,85,1.07033645851826
5,3,1,2020-05-15,2020-06-13,57,86,1.06861099817925
5,3,1,2020-05-16,2020-06-14,58,87,1.07550074928054
5,3,1,2020-05-17,2020-06-15,59,88,1.14082732138988
5,3,1,2020-05-18,2020-06-16,60,89,1.17707024740806
5,3,1,2020-05-19,2020-06-17,61,90,1.20743269573817
5,3,1,2020-05-20,2020-06-18,62,91,1.23824753951213
5,3,1,2020-05-21,2020-06-19,63,92,1.23700003775161
5,3,1,2020-05-22,2020-06-20,64,93,1.22955941634949
5,3,1,2020-05-23,2020-06-21,65,94,1.22322761027833
5,3,1,2020-05-24,2020-06-22,66,95,1.23511392816674
5,3,1,2020-05-25,2020-06-23,67,96,1.27417221197794
5,3,1,2020-05-26,2020-06-24,68,97,1.31515210579306
5,3,1,2020-05-27,2020-06-25,69,98,1.32395738275282
5,3,1,2020-05-28,2020-06-26,70,99,1.317579397918
