"zip_code","time_frame","start_dt","end_dt","t_start","t_end","Mean.R.","Std.R.","Quantile.0.025.R.","Quantile.0.975.R."
45246,1,2020-03-24,2020-04-22,5,34,1.90622989874231,0.105861021709124,1.6969696969697,2.12121212121212
45246,1,2020-03-25,2020-04-23,6,35,1.82634845163104,0.10374611024652,1.61764705882353,2.02941176470588
45246,1,2020-03-26,2020-04-24,7,36,1.74159495806578,0.0890750993206783,1.58974358974359,1.92307692307692
45246,1,2020-03-27,2020-04-25,8,37,1.69510119543954,0.0869453574294959,1.55892857142857,1.84583333333333
45246,1,2020-03-28,2020-04-26,9,38,1.67893941409956,0.0829193875150329,1.53488372093023,1.81395348837209
45246,1,2020-03-29,2020-04-27,10,39,1.57517439756074,0.0728091458346526,1.46,1.7
45246,1,2020-03-30,2020-04-28,11,40,1.50503464707618,0.0780887246898369,1.35294117647059,1.66764705882353
45246,1,2020-03-31,2020-04-29,12,41,1.44210245488078,0.0748951408412308,1.2962962962963,1.59259259259259
45246,1,2020-04-01,2020-04-30,13,42,1.40043603559516,0.0711249774416494,1.24956896551724,1.53534482758621
45246,1,2020-04-02,2020-05-01,14,43,1.35752005623351,0.070429179750082,1.22458333333333,1.49208333333333
45246,1,2020-04-03,2020-05-02,15,44,1.33266868160778,0.0703614206607299,1.2,1.46666666666667
45246,1,2020-04-04,2020-05-03,16,45,1.31548713454411,0.067482123687808,1.19354838709677,1.43548387096774
45246,1,2020-04-05,2020-05-04,17,46,1.27091735339396,0.0620496426738624,1.13933823529412,1.38235294117647
45246,1,2020-04-06,2020-05-05,18,47,1.23768503843664,0.0630274486771042,1.12857142857143,1.37142857142857
45246,1,2020-04-07,2020-05-06,19,48,1.21742180742632,0.0650426813867554,1.08571428571429,1.35714285714286
45246,1,2020-04-08,2020-05-07,20,49,1.21290192622166,0.0646772965836461,1.08450704225352,1.33802816901408
45246,1,2020-04-09,2020-05-08,21,50,1.18354409758753,0.0690575520387392,1.04347826086957,1.30507246376812
45246,1,2020-04-10,2020-05-09,22,51,1.1708801527913,0.06096360695351,1.04760273972603,1.28116438356164
45246,1,2020-04-11,2020-05-10,23,52,1.14313806612467,0.0616820914733673,1.02077464788732,1.25352112676056
45246,1,2020-04-12,2020-05-11,24,53,1.12738786799627,0.0594318727754562,1.00669014084507,1.23274647887324
45246,1,2020-04-13,2020-05-12,25,54,1.12738786799627,0.0594318727754562,1.00669014084507,1.23274647887324
45246,1,2020-04-14,2020-05-13,26,55,1.08726879045708,0.0693567547023056,0.956521739130435,1.225
45246,1,2020-04-15,2020-05-14,27,56,1.08431692312337,0.0662554835062745,0.972222222222222,1.22291666666667
45246,1,2020-04-16,2020-05-15,28,57,1.07234846067935,0.0657988116498141,0.951712328767123,1.19897260273973
45246,1,2020-04-17,2020-05-16,29,58,1.04425353886437,0.0705697706822778,0.922183098591549,1.16232394366197
45246,1,2020-04-18,2020-05-17,30,59,1.02627741869418,0.0701596170657759,0.881597222222222,1.14618055555556
45246,1,2020-04-19,2020-05-18,31,60,0.994745700799681,0.0695842706916226,0.863928571428571,1.12857142857143
45246,1,2020-04-20,2020-05-19,32,61,0.979156352607791,0.0677402730194128,0.857142857142857,1.1
45246,1,2020-04-21,2020-05-20,33,62,0.956528626122009,0.0712527826595855,0.830514705882353,1.08125
45246,1,2020-04-22,2020-05-21,34,63,0.954192512638485,0.0653089628688235,0.833333333333333,1.06944444444444
45246,1,2020-04-23,2020-05-22,35,64,0.941832968407983,0.0657733356858446,0.805555555555556,1.07673611111111
45246,1,2020-04-24,2020-05-23,36,65,0.930881340158955,0.06839622310078,0.821917808219178,1.05479452054795
45246,1,2020-04-25,2020-05-24,37,66,0.911707424142573,0.0651626986225773,0.801027397260274,1.04109589041096
45246,1,2020-04-26,2020-05-25,38,67,0.904442895694666,0.0663610308071785,0.787328767123288,1.03458904109589
45246,1,2020-04-27,2020-05-26,39,68,0.903720775528832,0.0648131363911418,0.787328767123288,1.02739726027397
45246,1,2020-04-28,2020-05-27,40,69,0.902741680809716,0.0700094799774138,0.764705882352941,1.02941176470588
45246,1,2020-04-29,2020-05-28,41,70,0.907517592904196,0.0699835412909913,0.791044776119403,1.02985074626866
45246,1,2020-04-30,2020-05-29,42,71,0.913806957626887,0.0707127706148635,0.804296875,1.046875
45246,1,2020-05-01,2020-05-30,43,72,0.918864796452724,0.0762137109834121,0.7825,1.06666666666667
45246,1,2020-05-02,2020-05-31,44,73,0.923561170021084,0.0844877002671725,0.79780701754386,1.0969298245614
45246,1,2020-05-03,2020-06-01,45,74,0.930954088336663,0.0880730065282366,0.753508771929825,1.10614035087719
45246,1,2020-05-04,2020-06-02,46,75,0.935714574362219,0.0871415834369763,0.762727272727273,1.10909090909091
45246,1,2020-05-05,2020-06-03,47,76,0.957626596846662,0.0996192752432982,0.78,1.16
45246,1,2020-05-06,2020-06-04,48,77,0.992330818247185,0.0997231107334921,0.822549019607843,1.17647058823529
45246,1,2020-05-07,2020-06-05,49,78,1.00159377131207,0.0976192231887336,0.832843137254902,1.18676470588235
45246,1,2020-05-08,2020-06-06,50,79,1.01077714943164,0.100873855196828,0.832843137254902,1.19607843137255
45246,1,2020-05-09,2020-06-07,51,80,1.02489537564646,0.0958176574433245,0.849056603773585,1.19858490566038
45246,1,2020-05-10,2020-06-08,52,81,1.0308111528375,0.0974787227919259,0.877551020408163,1.22551020408163
45246,1,2020-05-11,2020-06-09,53,82,1.04457639387243,0.0953643823186169,0.901960784313726,1.23627450980392
45246,1,2020-05-12,2020-06-10,54,83,1.06407869726699,0.0902388712940875,0.905660377358491,1.26415094339623
45246,1,2020-05-13,2020-06-11,55,84,1.06407869726699,0.0902388712940875,0.905660377358491,1.26415094339623
45246,1,2020-05-14,2020-06-12,56,85,1.07858782604421,0.0851115559702643,0.908181818181818,1.24590909090909
45246,1,2020-05-15,2020-06-13,57,86,1.08545969437528,0.0910007592747366,0.87688679245283,1.24528301886792
45246,1,2020-05-16,2020-06-14,58,87,1.09166602591555,0.0887133007610599,0.905660377358491,1.24528301886792
45246,1,2020-05-17,2020-06-15,59,88,1.0939863933231,0.0856992531310462,0.919196428571429,1.24151785714286
45246,1,2020-05-18,2020-06-16,60,89,1.09499332560152,0.0829735183200468,0.938157894736842,1.23728070175439
45246,1,2020-05-19,2020-06-17,61,90,1.08933916552636,0.0758720347464443,0.94125,1.21666666666667
45246,1,2020-05-20,2020-06-18,62,91,1.08799087546032,0.072558656947962,0.95,1.20875
45246,1,2020-05-21,2020-06-19,63,92,1.08296698770968,0.0686232078679153,0.918032786885246,1.19672131147541
45246,1,2020-05-22,2020-06-20,64,93,1.06779734018069,0.0695037539626372,0.920634920634921,1.19047619047619
45246,1,2020-05-23,2020-06-21,65,94,1.05915538775686,0.0692211530096827,0.921875,1.195703125
45246,1,2020-05-24,2020-06-22,66,95,1.06818637354861,0.0767655693553507,0.909426229508197,1.19754098360656
45246,1,2020-05-25,2020-06-23,67,96,1.04780367465319,0.0720437833692332,0.901639344262295,1.17254098360656
45246,1,2020-05-26,2020-06-24,68,97,1.02443222842514,0.0693851426971019,0.903225806451613,1.17741935483871
45246,1,2020-05-27,2020-06-25,69,98,0.978342343236289,0.0637083481674707,0.867647058823529,1.10367647058824
45246,1,2020-05-28,2020-06-26,70,99,0.949517101881472,0.0565671468507785,0.845070422535211,1.05633802816901
45246,1,2020-05-29,2020-06-27,71,100,0.946814269487872,0.0578411295649712,0.826086956521739,1.06557971014493
45246,1,2020-05-30,2020-06-28,72,101,0.939310001047496,0.0568371024149059,0.826086956521739,1.0518115942029
45246,1,2020-05-31,2020-06-29,73,102,0.939310001047496,0.0568371024149059,0.826086956521739,1.0518115942029
45246,1,2020-06-01,2020-06-30,74,103,0.933870280755848,0.0553834481092427,0.821071428571429,1.03678571428571
45246,1,2020-06-02,2020-07-01,75,104,0.908692036894399,0.0558394553610264,0.808219178082192,1.00787671232877
45246,1,2020-06-03,2020-07-02,76,105,0.908692036894399,0.0558394553610264,0.808219178082192,1.00787671232877
45246,1,2020-06-04,2020-07-03,77,106,0.898100435604018,0.0577217289671906,0.808219178082192,1
45246,1,2020-06-05,2020-07-04,78,107,0.862924146490235,0.0580924370654355,0.767253521126761,0.971830985915493
45246,1,2020-06-06,2020-07-05,79,108,0.84453256586602,0.056015909725825,0.75,0.951736111111111
45246,1,2020-06-07,2020-07-06,80,109,0.819918738036793,0.0513913877577686,0.72972972972973,0.905405405405405
45246,1,2020-06-08,2020-07-07,81,110,0.787623282380063,0.0524593370397369,0.693333333333333,0.880666666666666
45246,1,2020-06-09,2020-07-08,82,111,0.782075948040963,0.0514017668761154,0.684210526315789,0.875328947368421
45246,1,2020-06-10,2020-07-09,83,112,0.754784889476782,0.0506788191145656,0.657894736842105,0.849013157894737
45246,1,2020-06-11,2020-07-10,84,113,0.718492034898681,0.0489520253476209,0.613333333333333,0.820333333333333
45246,1,2020-06-12,2020-07-11,85,114,0.718492034898681,0.0489520253476209,0.613333333333333,0.820333333333333
45246,1,2020-06-13,2020-07-12,86,115,0.693684048045788,0.0501167734786788,0.603819444444444,0.791666666666667
45246,1,2020-06-14,2020-07-13,87,116,0.678973484566841,0.0505647970118045,0.576041666666667,0.777777777777778
