"SI_mean","SI_sd","time_frame","start_dt","end_dt","t_start","t_end","Mean.R.","Std.R.","Quantile.0.025.R.","Quantile.0.975.R."
5,3,1,2020-09-15,2020-10-14,2,31,1.220457186831,0.00596847083790585,1.20934065934066,1.2330971659919
5,3,1,2020-09-16,2020-10-15,3,32,1.20885313635441,0.0053081961047639,1.20080690429413,1.22061465057536
5,3,1,2020-09-17,2020-10-16,4,33,1.2062193559073,0.00563259520048641,1.19567307692308,1.21791034669556
5,3,1,2020-09-18,2020-10-17,5,34,1.20747729348402,0.00522577490742666,1.19822137000793,1.2182094683946
5,3,1,2020-09-19,2020-10-18,6,35,1.20691251059523,0.00575397808931672,1.19703521491455,1.2181576903159
5,3,1,2020-09-20,2020-10-19,7,36,1.20098219373645,0.00543191056423129,1.1912915851272,1.21368028375734
5,3,1,2020-09-21,2020-10-20,8,37,1.19294520544435,0.00455281258533829,1.18549813780261,1.20221717877095
5,3,1,2020-09-22,2020-10-21,9,38,1.18517862020126,0.00515966882756164,1.17530013339262,1.19557025344598
5,3,1,2020-09-23,2020-10-22,10,39,1.18130704183539,0.00496500161117139,1.17379905640146,1.19174351276003
5,3,1,2020-09-24,2020-10-23,11,40,1.18210446532707,0.00503407215040929,1.1744012911287,1.19138900458142
5,3,1,2020-09-25,2020-10-24,12,41,1.18531593407602,0.00501831587693145,1.17605059159527,1.19421664626683
5,3,1,2020-09-26,2020-10-25,13,42,1.18798695148267,0.00574905971942762,1.17856283824414,1.19803567849268
5,3,1,2020-09-27,2020-10-26,14,43,1.19066132245035,0.00465215969192911,1.18345334101382,1.20018721198157
5,3,1,2020-09-28,2020-10-27,15,44,1.19143991146436,0.00462216808056148,1.18364696163026,1.20105562695061
5,3,1,2020-09-29,2020-10-28,16,45,1.19157861735941,0.00494952410122011,1.18179697129776,1.19899630216587
5,3,1,2020-09-30,2020-10-29,17,46,1.1929281537969,0.00504135334362672,1.18355184743743,1.20230716839775
5,3,1,2020-10-01,2020-10-30,18,47,1.19678696926587,0.00520017595518735,1.1874301216705,1.2040693850707
5,3,1,2020-10-02,2020-10-31,19,48,1.20135092956136,0.00503456224433288,1.19152677857714,1.21087929656275
5,3,1,2020-10-03,2020-11-01,20,49,1.2031364138801,0.00509749738822025,1.19341324379197,1.2117757301265
5,3,1,2020-10-04,2020-11-02,21,50,1.2045286202375,0.00474280250296435,1.19599304425041,1.21439618173746
5,3,1,2020-10-05,2020-11-03,22,51,1.20360768449136,0.00403810203437342,1.19644725678733,1.21210407239819
5,3,1,2020-10-06,2020-11-04,23,52,1.2021148332484,0.00412232398802569,1.19561200923788,1.21147602227958
5,3,1,2020-10-07,2020-11-05,24,53,1.20146886517609,0.00429156665041453,1.19393750818813,1.21105725140836
5,3,1,2020-10-08,2020-11-06,25,54,1.20336188431685,0.00427601767930509,1.19687146981298,1.21284988075813
5,3,1,2020-10-09,2020-11-07,26,55,1.20599097799746,0.0043702082920751,1.19852509179927,1.2153641370869
5,3,1,2020-10-10,2020-11-08,27,56,1.20538287725317,0.00402189173793936,1.19794753824092,1.2147586042065
5,3,1,2020-10-11,2020-11-09,28,57,1.19914243218964,0.00404716589213001,1.19175972927242,1.20813310772702
5,3,1,2020-10-12,2020-11-10,29,58,1.19023587587447,0.00365877214655752,1.18438270281856,1.1972644946951
5,3,1,2020-10-13,2020-11-11,30,59,1.18017987476071,0.00366899986630636,1.17281605659797,1.18692197272634
5,3,1,2020-10-14,2020-11-12,31,60,1.17255609113325,0.00362075107075225,1.16666170339488,1.17938256898948
5,3,1,2020-10-15,2020-11-13,32,61,1.16653439766511,0.00300460110183764,1.16141340728698,1.17271205890791
5,3,1,2020-10-16,2020-11-14,33,62,1.16331197495392,0.00281743825229399,1.15796398245778,1.16894886628721
5,3,1,2020-10-17,2020-11-15,34,63,1.15842466820789,0.00272497950710099,1.15345988276241,1.16381892287965
5,3,1,2020-10-18,2020-11-16,35,64,1.14814168160339,0.00301371686654716,1.14228772144166,1.15328780870931
5,3,1,2020-10-19,2020-11-17,36,65,1.13899108829911,0.00280420255630287,1.13391089108911,1.14357274710522
5,3,1,2020-10-20,2020-11-18,37,66,1.13149834310281,0.00289207498409287,1.12587109438901,1.13750613446753
5,3,1,2020-10-21,2020-11-19,38,67,1.12640349692289,0.00252948445541109,1.12131767515924,1.13086584394904
5,3,1,2020-10-22,2020-11-20,39,68,1.12440300054659,0.00258686182544282,1.12002733307302,1.12897500976181
5,3,1,2020-10-23,2020-11-21,40,69,1.12290677503655,0.00312472645495259,1.11658970214731,1.12846147925806
5,3,1,2020-10-24,2020-11-22,41,70,1.11885758917923,0.00307833930564077,1.11257936507937,1.12428571428571
5,3,1,2020-10-25,2020-11-23,42,71,1.11095048145841,0.00303768865610649,1.10519841558253,1.11594229231776
5,3,1,2020-10-26,2020-11-24,43,72,1.10349428015128,0.00287183392816122,1.09831436999579,1.10907430818935
5,3,1,2020-10-27,2020-11-25,44,73,1.09918855707073,0.00261042120206301,1.09509123838163,1.10436030617824
5,3,1,2020-10-28,2020-11-26,45,74,1.09701780390623,0.00268610515954492,1.09233381354188,1.10190882897716
5,3,1,2020-10-29,2020-11-27,46,75,1.09705778631343,0.00297050433962705,1.09288791652642,1.1030780881858
5,3,1,2020-10-30,2020-11-28,47,76,1.09673027548128,0.00280167640184893,1.09214295208347,1.10246394630159
5,3,1,2020-10-31,2020-11-29,48,77,1.09275713023596,0.00279548327775713,1.0886581522096,1.09873432267385
5,3,1,2020-11-01,2020-11-30,49,78,1.08492158117684,0.00258674605431311,1.08045995191699,1.09052416803745
5,3,1,2020-11-02,2020-12-01,50,79,1.07669017473811,0.0024287895025372,1.07213974602785,1.08150880314091
5,3,1,2020-11-03,2020-12-02,51,80,1.06730637195074,0.0024360927654589,1.06344929995757,1.07212861385539
5,3,1,2020-11-04,2020-12-03,52,81,1.05937041247719,0.00229952751124717,1.05509162538053,1.062826061004
5,3,1,2020-11-05,2020-12-04,53,82,1.05308407708518,0.00257440635282815,1.04840996168582,1.05757294429708
5,3,1,2020-11-06,2020-12-05,54,83,1.04859035054016,0.00247762385945001,1.04316969519343,1.05335580304807
5,3,1,2020-11-07,2020-12-06,55,84,1.04163464700984,0.00257309665247193,1.03731104052703,1.04664431504029
5,3,1,2020-11-08,2020-12-07,56,85,1.03143298483494,0.00230671913296307,1.0271503376445,1.03609219411697
5,3,1,2020-11-09,2020-12-08,57,86,1.02206935640979,0.00221815732666485,1.01797940400696,1.02616589034177
5,3,1,2020-11-10,2020-12-09,58,87,1.01287630647922,0.00209083843484715,1.00923572228443,1.01683230683091
5,3,1,2020-11-11,2020-12-10,59,88,1.00710642346032,0.00215937978394488,1.00248840976373,1.01070072054963
5,3,1,2020-11-12,2020-12-11,60,89,1.00434938698495,0.00220293267050971,1.00086269778925,1.00892716866794
5,3,1,2020-11-13,2020-12-12,61,90,1.00340954506464,0.00212010344233542,0.999350832627717,1.00766158622636
5,3,1,2020-11-14,2020-12-13,62,91,1.0011225267922,0.00203068742617984,0.997454747901559,1.00471792382801
5,3,1,2020-11-15,2020-12-14,63,92,0.996010530192281,0.00217898129048159,0.991430423265513,0.999697063630728
5,3,1,2020-11-16,2020-12-15,64,93,0.991022167619059,0.00223961812530185,0.987287970635671,0.995691285245537
5,3,1,2020-11-17,2020-12-16,65,94,0.986879451379727,0.00221617518699552,0.982846950195859,0.991252098489088
5,3,1,2020-11-18,2020-12-17,66,95,0.984213761433522,0.0022759521576547,0.979985951109862,0.988515032312447
5,3,1,2020-11-19,2020-12-18,67,96,0.983185685805779,0.00207660241874725,0.97961182838135,0.987159609855105
5,3,1,2020-11-20,2020-12-19,68,97,0.982625248135494,0.00199836317390704,0.978606880027383,0.986589366193166
5,3,1,2020-11-21,2020-12-20,69,98,0.98031338337298,0.00186813813517317,0.97639201106692,0.984144619286414
5,3,1,2020-11-22,2020-12-21,70,99,0.976541045478652,0.00200172637257364,0.972807167235495,0.980437997724687
5,3,1,2020-11-23,2020-12-22,71,100,0.974589680495944,0.00219476701508531,0.970796748428029,0.978252988160653
5,3,1,2020-11-24,2020-12-23,72,101,0.975561995490636,0.00209272800599318,0.972172081829122,0.979717494699444
5,3,1,2020-11-25,2020-12-24,73,102,0.979235816841439,0.0023465030431866,0.97456660849331,0.984072134962187
5,3,1,2020-11-26,2020-12-25,74,103,0.978431766530913,0.00254873312753732,0.97284573035725,0.98229010831189
5,3,1,2020-11-27,2020-12-26,75,104,0.982924082146225,0.00246790540990616,0.977787977494818,0.987213503109269
5,3,1,2020-11-28,2020-12-27,76,105,0.980271765926291,0.00267504318534478,0.975198887426726,0.98459893527934
5,3,1,2020-11-29,2020-12-28,77,106,0.977320307969168,0.00252036807632211,0.972681350954479,0.981120411160059
5,3,1,2020-11-30,2020-12-29,78,107,0.97364955849897,0.00233352340541214,0.969082322761194,0.978608908582089
5,3,1,2020-12-01,2020-12-30,79,108,0.971343765361033,0.00261460396657211,0.966514410325927,0.975956268049744
5,3,1,2020-12-02,2020-12-31,80,109,0.973187622216623,0.0025259500474956,0.968784316065887,0.977754237288136
5,3,1,2020-12-03,2021-01-01,81,110,0.975693483694622,0.00272729193073979,0.969830632386987,0.980295784086755
5,3,1,2020-12-04,2021-01-02,82,111,0.979802702613562,0.00279291729127763,0.975646352723915,0.985106186518929
5,3,1,2020-12-05,2021-01-03,83,112,0.979778033187823,0.00298900709451393,0.974573677306515,0.985327003560497
5,3,1,2020-12-06,2021-01-04,84,113,0.973753036311572,0.00270468723385662,0.968289393010423,0.979101778050276
5,3,1,2020-12-07,2021-01-05,85,114,0.9675889472284,0.00258902783502492,0.962559577677225,0.972147812971342
5,3,1,2020-12-08,2021-01-06,86,115,0.964237998389335,0.00246856012398905,0.959166053245001,0.968043798306956
5,3,1,2020-12-09,2021-01-07,87,116,0.960918408187323,0.00258101593753869,0.956481023612313,0.966065026579305
5,3,1,2020-12-10,2021-01-08,88,117,0.95872403117258,0.00234315904939512,0.954579485899676,0.963510731220364
5,3,1,2020-12-11,2021-01-09,89,118,0.956552231588471,0.00240816500335682,0.952093759898638,0.960795058599937
5,3,1,2020-12-12,2021-01-10,90,119,0.950421985678865,0.00236566825818884,0.945544538570145,0.954835707868053
5,3,1,2020-12-13,2021-01-11,91,120,0.932043194830858,0.00215234964954582,0.927761009086865,0.936063099701341
5,3,1,2020-12-14,2021-01-12,92,121,0.910581786807281,0.0017858622707028,0.906880027652087,0.913650075414781
5,3,1,2020-12-15,2021-01-13,93,122,0.886356863214673,0.00190732283723485,0.882925977653631,0.890496444895886
5,3,1,2020-12-16,2021-01-14,94,123,0.860704563080588,0.00205003415188641,0.856876685068687,0.864528501733213
5,3,1,2020-12-17,2021-01-15,95,124,0.833512748432496,0.00171150498029351,0.830474759226941,0.836825350656066
5,3,2,2021-11-01,2021-11-30,2,31,1.15826071536924,0.00358085943968217,1.15218870258384,1.16634139637163
5,3,2,2021-11-02,2021-12-01,3,32,1.12588041054602,0.00379750901083852,1.11838314124899,1.13262865183597
5,3,2,2021-11-03,2021-12-02,4,33,1.11071856238153,0.00404410230046755,1.10312951056292,1.11785854874688
5,3,2,2021-11-04,2021-12-03,5,34,1.10379975263439,0.0038879132346251,1.09622951877177,1.11153722100374
5,3,2,2021-11-05,2021-12-04,6,35,1.10137075951454,0.00386651631908655,1.09435752757117,1.10952487817389
5,3,2,2021-11-06,2021-12-05,7,36,1.09831099461441,0.00354647267000071,1.09201057190167,1.10518086867915
5,3,2,2021-11-07,2021-12-06,8,37,1.09438049438766,0.00368257701761403,1.0869557195572,1.10061500615006
5,3,2,2021-11-08,2021-12-07,9,38,1.09102009871107,0.0036307028428476,1.08435767654857,1.09708664738491
5,3,2,2021-11-09,2021-12-08,10,39,1.08859559180288,0.00364165904135817,1.08078078962876,1.09507071302298
