"SI_mean","SI_sd","time_frame","start_dt","end_dt","t_start","t_end","Mean.R.","Std.R.","Quantile.0.025.R.","Quantile.0.975.R."
5,1,1,2020-03-21,2020-04-19,2,31,1.27613389819011,0.00817847281240219,1.25934670116429,1.29107373868047
5,1,1,2020-03-22,2020-04-20,3,32,1.24204109577021,0.00767757709989606,1.22596754057428,1.25468164794007
5,1,1,2020-03-23,2020-04-21,4,33,1.18333048353819,0.00791699121068965,1.16838487972509,1.19762313860252
5,1,1,2020-03-24,2020-04-22,5,34,1.15066029233015,0.00687056732536494,1.13841201716738,1.16309012875536
5,1,1,2020-03-25,2020-04-23,6,35,1.14723936683194,0.00764927159462837,1.1336215932914,1.16302410901468
5,1,1,2020-03-26,2020-04-24,7,36,1.15006982795979,0.00685622208408184,1.13866396761134,1.16146255060729
5,1,1,2020-03-27,2020-04-25,8,37,1.15232912700804,0.00710087866394897,1.14060963618486,1.16715830875123
5,1,1,2020-03-28,2020-04-26,9,38,1.15340849853569,0.00617504272464524,1.14370078740157,1.16737204724409
5,1,1,2020-03-29,2020-04-27,10,39,1.14052322829599,0.00562999124025189,1.12964728312679,1.15061963775024
5,1,1,2020-03-30,2020-04-28,11,40,1.1247284873627,0.00562536869415144,1.11355311355311,1.13466117216117
5,1,1,2020-03-31,2020-04-29,12,41,1.11956363842316,0.00563267737345747,1.10934744268078,1.13009259259259
5,1,1,2020-04-01,2020-04-30,13,42,1.1201305397057,0.00524385974428931,1.10874892519347,1.12856835769561
5,1,1,2020-04-02,2020-05-01,14,43,1.11377613549841,0.00479867321662432,1.10327455919395,1.12178841309824
5,1,1,2020-04-03,2020-05-02,15,44,1.10717215757099,0.00466963242178145,1.09942004971002,1.11725352112676
5,1,1,2020-04-04,2020-05-03,16,45,1.09867269407764,0.00459754184584257,1.09045643153527,1.10582987551867
5,1,1,2020-04-05,2020-05-04,17,46,1.07790156274118,0.00440214614523436,1.0691974822974,1.08538552321007
5,1,1,2020-04-06,2020-05-05,18,47,1.0614423095714,0.00492956622070653,1.05315608263198,1.06962509563887
5,1,1,2020-04-07,2020-05-06,19,48,1.05639372094089,0.00451639955547472,1.04707987942728,1.0655990957046
5,1,1,2020-04-08,2020-05-07,20,49,1.06120132355598,0.0046299572186995,1.05322885196375,1.07175226586103
5,1,1,2020-04-09,2020-05-08,21,50,1.07139600121481,0.00504886729611754,1.06255522827688,1.07917893961708
5,1,1,2020-04-10,2020-05-09,22,51,1.07585530134379,0.00535923410853263,1.06613669590643,1.08479532163743
5,1,1,2020-04-11,2020-05-10,23,52,1.07245652951251,0.00500033002021425,1.06422540381791,1.08223201174743
5,1,1,2020-04-12,2020-05-11,24,53,1.06805296124081,0.00407019170715785,1.06119510439165,1.07631389488841
5,1,1,2020-04-13,2020-05-12,25,54,1.06065953839239,0.00456875080264765,1.05137323943662,1.07112676056338
5,1,1,2020-04-14,2020-05-13,26,55,1.05433968144854,0.00465768901501657,1.04519832985386,1.06123869171886
5,1,1,2020-04-15,2020-05-14,27,56,1.04855529641889,0.00542095074365101,1.03736413043478,1.05978260869565
5,1,1,2020-04-16,2020-05-15,28,57,1.02732637545735,0.00610736105419405,1.01649258760108,1.04078504043127
5,1,1,2020-04-17,2020-05-16,29,58,1.00093079467203,0.00523837011948922,0.992218095881161,1.01115800135044
5,1,1,2020-04-18,2020-05-17,30,59,0.974088191950436,0.00462786998443945,0.963990672884743,0.981695536309127
5,1,1,2020-04-19,2020-05-18,31,60,0.95224011883731,0.00541868815955408,0.941759868421053,0.9625
5,1,1,2020-04-20,2020-05-19,32,61,0.931011155501398,0.00428634046198848,0.923227065712427,0.938191281717632
5,1,1,2020-04-21,2020-05-20,33,62,0.915912343680041,0.00453574048197922,0.907810478654593,0.925307244501941
5,1,1,2020-04-22,2020-05-21,34,63,0.921202863546875,0.00544173117676135,0.910214333556597,0.930341594105827
5,1,1,2020-04-23,2020-05-22,35,64,0.925285436785695,0.0046466071449733,0.915943526170799,0.933557162534435
5,1,1,2020-04-24,2020-05-23,36,65,0.920768631564845,0.00507357041561635,0.911893203883495,0.931709431345354
5,1,1,2020-04-25,2020-05-24,37,66,0.909998572039792,0.00503105332875791,0.899061614730878,0.918555240793201
5,1,1,2020-04-26,2020-05-25,38,67,0.899926546184774,0.00527092147103428,0.889314223512337,0.90894412191582
5,1,1,2020-04-27,2020-05-26,39,68,0.894502352767438,0.00474146143192943,0.883591498559078,0.902053314121037
5,1,1,2020-04-28,2020-05-27,40,69,0.899199620105732,0.00467759714678715,0.889669117647059,0.908474264705882
5,1,1,2020-04-29,2020-05-28,41,70,0.910702078907352,0.00522131709669715,0.901934635612322,0.920398196844478
5,1,1,2020-04-30,2020-05-29,42,71,0.916712625345972,0.00511245902870277,0.90809968847352,0.92720015576324
5,1,1,2020-05-01,2020-05-30,43,72,0.919716963773959,0.00486249774064772,0.911412609736632,0.930187549880287
5,1,1,2020-05-02,2020-05-31,44,73,0.923709709100945,0.00486125033056478,0.914512799339389,0.933546655656482
5,1,1,2020-05-03,2020-06-01,45,74,0.931467986729113,0.00477096648112731,0.920295809367297,0.939667214461791
5,1,1,2020-05-04,2020-06-02,46,75,0.941618895742732,0.00528964350393397,0.931480721903199,0.951599671862182
5,1,1,2020-05-05,2020-06-03,47,76,0.968004037187649,0.00649036058108265,0.953964194373402,0.981244671781756
5,1,1,2020-05-06,2020-06-04,48,77,1.00743000983736,0.00687626148123359,0.990844155844156,1.01954545454545
5,1,1,2020-05-07,2020-06-05,49,78,1.04162546650205,0.00692504570035544,1.02897977132806,1.05499120492524
5,1,1,2020-05-08,2020-06-06,50,79,1.06643543465467,0.00691223903537706,1.05184696569921,1.07785839929639
5,1,1,2020-05-09,2020-06-07,51,80,1.07608704108438,0.00805752727531546,1.06171028880866,1.09210288808664
5,1,1,2020-05-10,2020-06-08,52,81,1.09687354968604,0.00752730719826224,1.08382352941176,1.1119622475856
5,1,1,2020-05-11,2020-06-09,53,82,1.11171624898167,0.00764926465178883,1.09751924721985,1.1232249786142
5,1,1,2020-05-12,2020-06-10,54,83,1.1432444674498,0.00807428523225673,1.12638190954774,1.15829145728643
5,1,1,2020-05-13,2020-06-11,55,84,1.18358861083332,0.00909920693224976,1.16650904605263,1.20026726973684
5,1,1,2020-05-14,2020-06-12,56,85,1.22525081962016,0.0081785534298944,1.21260048231511,1.24077572347267
5,1,1,2020-05-15,2020-06-13,57,86,1.25521054839229,0.00727939011293137,1.24242424242424,1.26957735247209
5,1,1,2020-05-16,2020-06-14,58,87,1.27101146715561,0.00746006552634251,1.25780516431925,1.28403755868545
5,1,1,2020-05-17,2020-06-15,59,88,1.26387227109373,0.0070966589099111,1.24998180494905,1.27656477438137
5,1,1,2020-05-18,2020-06-16,60,89,1.2571478194825,0.00752865506240419,1.24159153952843,1.27257281553398
5,1,1,2020-05-19,2020-06-17,61,90,1.26056926250624,0.0066108770702577,1.24932476943347,1.27109683794466
5,1,1,2020-05-20,2020-06-18,62,91,1.28389064876939,0.0064986186542743,1.27156619018024,1.2958359229335
5,1,1,2020-05-21,2020-06-19,63,92,1.3183872340751,0.00589715341877677,1.3054907241173,1.32914422501496
5,1,1,2020-05-22,2020-06-20,64,93,1.33960059871581,0.00639457119475761,1.32811418685121,1.35409457900807
5,1,1,2020-05-23,2020-06-21,65,94,1.34530369879255,0.00573393252058734,1.33541897891232,1.35656215316315
5,1,1,2020-05-24,2020-06-22,66,95,1.33214461289052,0.00434650682964752,1.32385466034755,1.33965244865719
5,1,1,2020-05-25,2020-06-23,67,96,1.30379764219938,0.00474264106616205,1.2959637964775,1.31385763209393
5,1,1,2020-05-26,2020-06-24,68,97,1.28661481339194,0.00536815407427439,1.2766085183507,1.29725872224739
5,1,1,2020-05-27,2020-06-25,69,98,1.29055392568319,0.00550146564757441,1.28137296834902,1.30241659538067
