Case Reported Date,Zip Code,Cases
6/9/2020,45001,1
3/28/2020,45002,1
4/1/2020,45002,1
4/4/2020,45002,2
4/5/2020,45002,1
4/8/2020,45002,1
4/9/2020,45002,2
4/17/2020,45002,1
4/23/2020,45002,1
4/24/2020,45002,1
4/26/2020,45002,1
4/27/2020,45002,1
5/1/2020,45002,1
5/3/2020,45002,2
5/5/2020,45002,1
5/23/2020,45002,1
5/24/2020,45002,1
5/31/2020,45002,1
6/5/2020,45002,1
6/6/2020,45002,1
6/11/2020,45002,1
6/13/2020,45002,1
6/14/2020,45002,1
6/19/2020,45002,1
6/20/2020,45002,1
6/21/2020,45002,1
6/25/2020,45002,1
6/26/2020,45002,1
6/27/2020,45002,1
6/30/2020,45002,3
7/1/2020,45002,3
7/2/2020,45002,5
7/3/2020,45002,1
7/4/2020,45002,5
7/5/2020,45002,2
7/6/2020,45002,4
7/8/2020,45002,4
7/9/2020,45002,2
7/10/2020,45002,4
7/11/2020,45002,3
7/13/2020,45002,3
7/14/2020,45002,1
7/15/2020,45002,2
7/16/2020,45002,2
7/17/2020,45002,1
7/18/2020,45002,1
7/19/2020,45002,1
7/20/2020,45002,1
6/24/2020,45013,1
4/1/2020,45014,1
7/21/2020,45014,1
,45030,1
3/20/2020,45030,1
3/22/2020,45030,1
3/26/2020,45030,1
3/30/2020,45030,2
3/31/2020,45030,2
4/1/2020,45030,1
4/2/2020,45030,1
4/4/2020,45030,2
4/5/2020,45030,2
4/6/2020,45030,2
4/7/2020,45030,1
4/8/2020,45030,1
4/9/2020,45030,2
4/13/2020,45030,1
4/14/2020,45030,1
4/25/2020,45030,1
4/28/2020,45030,1
4/30/2020,45030,1
5/6/2020,45030,1
5/7/2020,45030,3
5/11/2020,45030,1
5/12/2020,45030,1
5/16/2020,45030,1
5/19/2020,45030,2
5/21/2020,45030,1
5/31/2020,45030,1
6/6/2020,45030,1
6/13/2020,45030,1
6/15/2020,45030,1
6/17/2020,45030,2
6/20/2020,45030,2
6/22/2020,45030,1
6/23/2020,45030,2
6/25/2020,45030,2
