Case Report Date,ZipCode,Frequency
03/12/2020,45243,1
03/17/2020,45224,1
03/20/2020,45030,1
03/20/2020,45213,1
03/20/2020,45224,1
03/20/2020,45237,1
03/20/2020,45242,1
03/20/2020,45248,1
03/21/2020,45206,1
03/21/2020,45223,1
03/21/2020,45224,1
03/21/2020,45226,1
03/21/2020,45231,1
03/22/2020,45030,1
03/22/2020,45140,1
03/22/2020,45202,1
03/22/2020,45209,1
03/22/2020,45213,2
03/22/2020,45217,1
03/22/2020,45220,1
03/22/2020,45237,1
03/22/2020,45242,1
03/22/2020,45252,1
03/23/2020,45206,1
03/23/2020,45215,1
03/23/2020,45224,1
03/23/2020,45227,1
03/23/2020,45230,1
03/23/2020,45240,1
03/23/2020,45243,1
03/23/2020,45244,2
03/23/2020,45247,1
03/23/2020,45249,1
03/23/2020,45251,2
03/23/2020,45255,1
03/24/2020,45140,1
03/24/2020,45202,1
03/24/2020,45209,1
03/24/2020,45213,1
03/24/2020,45215,1
03/24/2020,45224,1
03/24/2020,45237,1
03/24/2020,45238,1
03/24/2020,45243,1
03/25/2020,45204,1
03/25/2020,45208,1
03/25/2020,45230,1
03/25/2020,45238,1
03/25/2020,45244,1
03/26/2020,45030,1
03/26/2020,45209,1
03/26/2020,45213,1
03/26/2020,45219,1
03/26/2020,45220,1
03/26/2020,45227,1
03/26/2020,45231,2
03/26/2020,45237,1
03/26/2020,45246,1
03/26/2020,45251,3
03/27/2020,45208,1
03/27/2020,45209,1
03/27/2020,45212,1
03/27/2020,45215,1
03/27/2020,45220,2
03/27/2020,45224,1
03/27/2020,45230,1
03/27/2020,45231,1
03/27/2020,45237,1
03/27/2020,45238,1
03/27/2020,45241,2
03/28/2020,45002,1
03/28/2020,45052,1
03/28/2020,45208,1
03/28/2020,45211,1
03/28/2020,45215,2
03/28/2020,45219,2
03/28/2020,45229,1
03/28/2020,45239,2
03/28/2020,45248,1
03/28/2020,45251,1
03/28/2020,45383,1
03/29/2020,45215,1
03/29/2020,45220,2
03/29/2020,45231,2
03/29/2020,45238,1
03/29/2020,45242,1
03/29/2020,45247,2
03/29/2020,45249,1
