Date,ZIP Code,Number of Cases
2/15/2021,45002,3
2/15/2021,45030,3
2/15/2021,45051,3
2/15/2021,45052,2
2/15/2021,45140,1
2/15/2021,45174,1
2/15/2021,45202,1
2/15/2021,45203,1
2/15/2021,45204,3
2/15/2021,45205,2
2/15/2021,45206,2
2/15/2021,45207,3
2/15/2021,45208,4
2/15/2021,45209,2
2/15/2021,45211,6
2/15/2021,45212,8
2/15/2021,45213,4
2/15/2021,45214,2
2/15/2021,45215,3
2/15/2021,45216,1
2/15/2021,45218,3
2/15/2021,45219,1
2/15/2021,45221,1
2/15/2021,45223,1
2/15/2021,45224,4
2/15/2021,45226,3
2/15/2021,45227,9
2/15/2021,45229,1
2/15/2021,45230,6
2/15/2021,45231,7
2/15/2021,45232,1
2/15/2021,45233,2
2/15/2021,45236,8
2/15/2021,45237,7
2/15/2021,45238,7
2/15/2021,45239,8
2/15/2021,45240,6
2/15/2021,45241,9
2/15/2021,45242,4
2/15/2021,45243,3
2/15/2021,45244,1
2/15/2021,45246,3
2/15/2021,45247,5
2/15/2021,45248,5
2/15/2021,45249,2
2/15/2021,45251,8
2/15/2021,45255,1
2/16/2021,45002,1
2/16/2021,45030,5
2/16/2021,45033,2
2/16/2021,45052,1
2/16/2021,45140,5
2/16/2021,45205,2
2/16/2021,45206,1
2/16/2021,45207,2
2/16/2021,45208,1
2/16/2021,45209,4
2/16/2021,45211,9
2/16/2021,45212,2
2/16/2021,45213,4
2/16/2021,45215,8
2/16/2021,45216,2
2/16/2021,45217,1
2/16/2021,45218,1
2/16/2021,45219,1
2/16/2021,45223,1
2/16/2021,45224,2
2/16/2021,45225,2
2/16/2021,45226,2
2/16/2021,45227,4
2/16/2021,45229,6
2/16/2021,45230,3
2/16/2021,45231,10
2/16/2021,45232,1
2/16/2021,45233,1
2/16/2021,45236,4
2/16/2021,45237,1
2/16/2021,45238,8
2/16/2021,45239,5
2/16/2021,45240,5
2/16/2021,45241,2
2/16/2021,45242,4
2/16/2021,45243,1
2/16/2021,45244,2
2/16/2021,45246,1
2/16/2021,45247,4
2/16/2021,45249,4
2/16/2021,45251,4
2/16/2021,45255,3
2/17/2021,45002,3
2/17/2021,45030,7
2/17/2021,45052,2
2/17/2021,45140,5
2/17/2021,45202,2
2/17/2021,45205,4
2/17/2021,45206,2
2/17/2021,45207,3
2/17/2021,45208,3
2/17/2021,45209,3
2/17/2021,45211,6
2/17/2021,45212,9
2/17/2021,45213,3
2/17/2021,45214,1
2/17/2021,45215,12
2/17/2021,45216,3
2/17/2021,45218,1
2/17/2021,45223,4
2/17/2021,45224,4
2/17/2021,45225,1
2/17/2021,45226,2
2/17/2021,45227,6
2/17/2021,45229,1
2/17/2021,45230,5
2/17/2021,45231,9
2/17/2021,45232,2
2/17/2021,45233,4
2/17/2021,45236,6
2/17/2021,45237,5
2/17/2021,45238,10
2/17/2021,45239,6
2/17/2021,45240,3
2/17/2021,45241,6
2/17/2021,45242,10
2/17/2021,45243,5
2/17/2021,45244,2
2/17/2021,45246,1
2/17/2021,45247,5
2/17/2021,45248,6
2/17/2021,45249,4
2/17/2021,45251,4
2/17/2021,45255,6
2/18/2021,45002,3
2/18/2021,45030,2
2/18/2021,45140,4
2/18/2021,45174,1
2/18/2021,45202,1
2/18/2021,45204,4
2/18/2021,45205,3
2/18/2021,45206,2
2/18/2021,45208,2
2/18/2021,45209,1
2/18/2021,45211,10
2/18/2021,45212,3
2/18/2021,45213,3
2/18/2021,45214,1
2/18/2021,45215,6
2/18/2021,45216,1
2/18/2021,45217,1
2/18/2021,45219,3
2/18/2021,45220,5
2/18/2021,45223,2
2/18/2021,45224,2
2/18/2021,45225,2
2/18/2021,45226,2
2/18/2021,45227,5
2/18/2021,45230,6
2/18/2021,45231,5
2/18/2021,45233,4
2/18/2021,45236,4
2/18/2021,45237,4
2/18/2021,45238,7
2/18/2021,45239,3
2/18/2021,45240,5
2/18/2021,45241,2
2/18/2021,45242,4
2/18/2021,45243,4
2/18/2021,45246,1
2/18/2021,45247,1
2/18/2021,45248,3
2/18/2021,45249,3
2/18/2021,45251,4
2/18/2021,45252,1
2/18/2021,45255,6
2/19/2021,45002,3
2/19/2021,45052,1
2/19/2021,45140,3
2/19/2021,45202,3
2/19/2021,45203,1
2/19/2021,45204,2
2/19/2021,45205,1
2/19/2021,45208,2
2/19/2021,45209,2
2/19/2021,45211,6
2/19/2021,45212,3
2/19/2021,45213,3
2/19/2021,45214,1
2/19/2021,45215,5
2/19/2021,45217,1
2/19/2021,45219,1
2/19/2021,45220,1
2/19/2021,45221,1
2/19/2021,45223,4
2/19/2021,45224,6
2/19/2021,45225,1
2/19/2021,45227,2
2/19/2021,45230,4
2/19/2021,45231,7
2/19/2021,45232,1
2/19/2021,45233,8
2/19/2021,45236,4
2/19/2021,45237,4
2/19/2021,45238,4
2/19/2021,45239,7
2/19/2021,45240,8
2/19/2021,45241,3
2/19/2021,45242,3
2/19/2021,45243,1
2/19/2021,45244,4
2/19/2021,45246,4
2/19/2021,45247,2
2/19/2021,45248,3
2/19/2021,45249,3
2/19/2021,45251,2
2/19/2021,45255,3
2/20/2021,45002,2
2/20/2021,45140,2
2/20/2021,45202,2
2/20/2021,45203,1
2/20/2021,45205,1
2/20/2021,45206,1
2/20/2021,45208,2
2/20/2021,45211,8
2/20/2021,45214,2
2/20/2021,45215,4
2/20/2021,45216,2
2/20/2021,45217,2
2/20/2021,45218,3
2/20/2021,45219,3
2/20/2021,45220,1
2/20/2021,45223,1
2/20/2021,45224,2
2/20/2021,45225,1
2/20/2021,45227,1
2/20/2021,45229,2
2/20/2021,45230,5
2/20/2021,45231,7
2/20/2021,45233,4
2/20/2021,45236,2
2/20/2021,45237,3
2/20/2021,45238,11
2/20/2021,45239,4
2/20/2021,45241,2
2/20/2021,45242,3
2/20/2021,45243,1
2/20/2021,45244,1
2/20/2021,45246,8
2/20/2021,45247,4
2/20/2021,45251,2
2/20/2021,45252,2
2/20/2021,45255,3
2/21/2021,45030,2
2/21/2021,45052,2
2/21/2021,45140,2
2/21/2021,45202,3
2/21/2021,45204,1
2/21/2021,45205,3
2/21/2021,45207,1
2/21/2021,45208,1
2/21/2021,45209,3
2/21/2021,45211,4
2/21/2021,45212,3
2/21/2021,45213,2
2/21/2021,45214,2
2/21/2021,45215,3
2/21/2021,45216,2
2/21/2021,45217,4
2/21/2021,45219,3
2/21/2021,45223,1
2/21/2021,45224,3
2/21/2021,45225,1
2/21/2021,45226,1
2/21/2021,45227,3
2/21/2021,45229,3
2/21/2021,45230,4
2/21/2021,45231,6
2/21/2021,45233,3
2/21/2021,45236,1
2/21/2021,45237,1
2/21/2021,45238,1
2/21/2021,45239,2
2/21/2021,45240,4
2/21/2021,45241,4
2/21/2021,45242,4
2/21/2021,45243,2
2/21/2021,45244,3
2/21/2021,45246,4
2/21/2021,45247,7
2/21/2021,45248,1
2/21/2021,45249,1
2/21/2021,45251,2
2/21/2021,45255,4
2/22/2021,45002,2
2/22/2021,45030,2
2/22/2021,45052,2
2/22/2021,45140,4
2/22/2021,45174,1
2/22/2021,45202,3
2/22/2021,45205,5
2/22/2021,45206,3
2/22/2021,45207,5
2/22/2021,45208,5
2/22/2021,45209,2
2/22/2021,45211,7
2/22/2021,45212,6
2/22/2021,45213,5
2/22/2021,45214,2
2/22/2021,45215,6
2/22/2021,45216,5
2/22/2021,45217,2
2/22/2021,45218,1
2/22/2021,45219,4
2/22/2021,45220,1
2/22/2021,45223,3
2/22/2021,45224,2
2/22/2021,45227,5
2/22/2021,45229,1
2/22/2021,45230,1
2/22/2021,45231,3
2/22/2021,45232,2
2/22/2021,45233,2
2/22/2021,45236,3
2/22/2021,45237,3
2/22/2021,45238,13
2/22/2021,45239,5
2/22/2021,45240,6
2/22/2021,45241,2
2/22/2021,45242,5
2/22/2021,45243,2
2/22/2021,45246,1
2/22/2021,45247,6
2/22/2021,45248,4
2/22/2021,45249,1
2/22/2021,45251,4
2/22/2021,45252,1
2/22/2021,45255,2
2/23/2021,45002,4
2/23/2021,45030,2
2/23/2021,45052,3
2/23/2021,45140,3
2/23/2021,45174,1
2/23/2021,45202,2
2/23/2021,45203,2
2/23/2021,45204,1
2/23/2021,45205,5
2/23/2021,45206,2
2/23/2021,45207,6
2/23/2021,45208,3
2/23/2021,45209,1
2/23/2021,45211,6
2/23/2021,45212,6
2/23/2021,45213,1
2/23/2021,45214,1
2/23/2021,45215,7
2/23/2021,45218,1
2/23/2021,45219,1
2/23/2021,45220,1
2/23/2021,45223,2
2/23/2021,45224,5
2/23/2021,45225,1
2/23/2021,45226,2
2/23/2021,45227,5
2/23/2021,45229,3
2/23/2021,45230,4
2/23/2021,45231,8
2/23/2021,45232,1
2/23/2021,45233,5
2/23/2021,45236,1
2/23/2021,45237,3
2/23/2021,45238,3
2/23/2021,45239,8
2/23/2021,45240,2
2/23/2021,45241,3
2/23/2021,45242,10
2/23/2021,45243,6
2/23/2021,45244,4
2/23/2021,45246,5
2/23/2021,45247,3
2/23/2021,45248,7
2/23/2021,45249,7
2/23/2021,45251,3
2/23/2021,45255,4
2/24/2021,45002,1
2/24/2021,45030,1
2/24/2021,45052,1
2/24/2021,45140,5
2/24/2021,45202,4
2/24/2021,45204,2
2/24/2021,45205,3
2/24/2021,45206,2
2/24/2021,45207,2
2/24/2021,45208,2
2/24/2021,45209,2
2/24/2021,45211,5
2/24/2021,45212,3
2/24/2021,45213,6
2/24/2021,45214,1
2/24/2021,45215,3
2/24/2021,45216,1
2/24/2021,45218,1
2/24/2021,45219,5
2/24/2021,45220,3
2/24/2021,45223,1
2/24/2021,45224,2
2/24/2021,45225,5
2/24/2021,45226,3
2/24/2021,45227,1
2/24/2021,45229,2
2/24/2021,45231,3
2/24/2021,45232,1
2/24/2021,45233,4
