"SI_mean","SI_sd","time_frame","start_dt","end_dt","t_start","t_end","R.wt","R.cori"
5,3,1,2020-03-21,2020-04-19,2,31,1.29919970366449,1.53455150667957
5,3,1,2020-03-22,2020-04-20,3,32,1.22224356324462,1.56774654199967
5,3,1,2020-03-23,2020-04-21,4,33,1.18048479658247,1.50937627216269
5,3,1,2020-03-24,2020-04-22,5,34,1.16039110178757,1.4041274255148
5,3,1,2020-03-25,2020-04-23,6,35,1.13739423137618,1.33177293515213
5,3,1,2020-03-26,2020-04-24,7,36,1.12085242118283,1.26831010189221
5,3,1,2020-03-27,2020-04-25,8,37,1.11045664211634,1.21551466116319
5,3,1,2020-03-28,2020-04-26,9,38,1.10186218677229,1.16422741176329
5,3,1,2020-03-29,2020-04-27,10,39,1.09712965595363,1.12557195735676
5,3,1,2020-03-30,2020-04-28,11,40,1.09386977816341,1.10377765323994
5,3,1,2020-03-31,2020-04-29,12,41,1.08935116718582,1.0953258878512
5,3,1,2020-04-01,2020-04-30,13,42,1.08312337489778,1.10453081592546
5,3,1,2020-04-02,2020-05-01,14,43,1.07641695194741,1.10830480414583
5,3,1,2020-04-03,2020-05-02,15,44,1.07229408688209,1.10202861600668
5,3,1,2020-04-04,2020-05-03,16,45,1.07030065572858,1.09080163997894
5,3,1,2020-04-05,2020-05-04,17,46,1.06947407179068,1.07828722814356
5,3,1,2020-04-06,2020-05-05,18,47,1.06889293696713,1.07155897663544
5,3,1,2020-04-07,2020-05-06,19,48,1.06675479827277,1.06745296962235
5,3,1,2020-04-08,2020-05-07,20,49,1.06168761592053,1.0660268261303
5,3,1,2020-04-09,2020-05-08,21,50,1.05138660142161,1.08342208656614
5,3,1,2020-04-10,2020-05-09,22,51,1.04282344938383,1.08743675143415
5,3,1,2020-04-11,2020-05-10,23,52,1.03475926918324,1.07178008516374
5,3,1,2020-04-12,2020-05-11,24,53,1.02344115865354,1.07362275492472
5,3,1,2020-04-13,2020-05-12,25,54,1.01184995222277,1.06473273675561
5,3,1,2020-04-14,2020-05-13,26,55,0.996953457214792,1.05551026698514
5,3,1,2020-04-15,2020-05-14,27,56,0.983247558163808,1.06062096186384
5,3,1,2020-04-16,2020-05-15,28,57,0.962848392658435,1.05292431875526
5,3,1,2020-04-17,2020-05-16,29,58,0.943023583990862,1.03532941158922
5,3,1,2020-04-18,2020-05-17,30,59,0.930939463975803,1.01193695694457
5,3,1,2020-04-19,2020-05-18,31,60,0.930941216042304,0.973837113069071
5,3,1,2020-04-20,2020-05-19,32,61,0.949923484294875,0.924924584194623
5,3,1,2020-04-21,2020-05-20,33,62,0.975190063905753,0.885248296162889
5,3,1,2020-04-22,2020-05-21,34,63,0.988477553558846,0.893851069654304
5,3,1,2020-04-23,2020-05-22,35,64,0.991910427995869,0.925557843007502
5,3,1,2020-04-24,2020-05-23,36,65,0.995758844366308,0.946588915892703
5,3,1,2020-04-25,2020-05-24,37,66,0.99624529470682,0.963283703105684
5,3,1,2020-04-26,2020-05-25,38,67,0.993509592216475,0.983038025035603
5,3,1,2020-04-27,2020-05-26,39,68,0.989269998079288,0.999622047219624
5,3,1,2020-04-28,2020-05-27,40,69,0.984059070515807,1.00771201950644
5,3,1,2020-04-29,2020-05-28,41,70,0.976653096080122,1.0103800050589
5,3,1,2020-04-30,2020-05-29,42,71,0.968704724099829,1.01622814825342
5,3,1,2020-05-01,2020-05-30,43,72,0.963121247521139,0.999131476286383
5,3,1,2020-05-02,2020-05-31,44,73,0.958789850887909,0.983135978035659
5,3,1,2020-05-03,2020-06-01,45,74,0.955416079618929,0.976230575642891
5,3,1,2020-05-04,2020-06-02,46,75,0.951858257901524,0.966476497573869
5,3,1,2020-05-05,2020-06-03,47,76,0.946784399643563,0.964053551006923
5,3,1,2020-05-06,2020-06-04,48,77,0.941629191841284,0.969850227535222
5,3,1,2020-05-07,2020-06-05,49,78,0.937530940154185,0.968600677151239
5,3,1,2020-05-08,2020-06-06,50,79,0.937631501450852,0.962599043300782
5,3,1,2020-05-09,2020-06-07,51,80,0.941339461792536,0.937310558864309
5,3,1,2020-05-10,2020-06-08,52,81,0.944939612110176,0.925747335084109
5,3,1,2020-05-11,2020-06-09,53,82,0.948295677820603,0.932977323366168
5,3,1,2020-05-12,2020-06-10,54,83,0.952199258845714,0.928214553904747
5,3,1,2020-05-13,2020-06-11,55,84,0.955816335943238,0.938595880900686
5,3,1,2020-05-14,2020-06-12,56,85,0.960653753358304,0.948633240139181
5,3,1,2020-05-15,2020-06-13,57,86,0.968032680635114,0.946764045843457
5,3,1,2020-05-16,2020-06-14,58,87,0.973906104132632,0.93798550970441
5,3,1,2020-05-17,2020-06-15,59,88,0.982074122406653,0.942467802015563
5,3,1,2020-05-18,2020-06-16,60,89,0.989783679904577,0.952901093422133
5,3,1,2020-05-19,2020-06-17,61,90,0.993759804072811,0.955767183328941
5,3,1,2020-05-20,2020-06-18,62,91,0.999026477674954,0.979308417754931
5,3,1,2020-05-21,2020-06-19,63,92,1.0038336680543,0.99612182448179
5,3,1,2020-05-22,2020-06-20,64,93,1.00945725175476,0.986662815199444
5,3,1,2020-05-23,2020-06-21,65,94,1.01316035469197,0.983231676406391
5,3,1,2020-05-24,2020-06-22,66,95,1.01211408773812,0.994012202211649
5,3,1,2020-05-25,2020-06-23,67,96,1.00577263760984,1.00289397726649
5,3,1,2020-05-26,2020-06-24,68,97,0.988801654418926,1.00884694933649
5,3,1,2020-05-27,2020-06-25,69,98,0.946611077275092,1.0341474387541
5,3,1,2020-05-28,2020-06-26,70,99,0.889099225980883,1.07064468016029
5,3,1,2020-05-29,2020-06-27,71,100,0.842340034906929,1.08690911117642
