Date,Zip,Daily Calculated Recoveries
5/29/2020,45001,0
5/30/2020,45001,0
5/31/2020,45001,0
6/1/2020,45001,0
6/2/2020,45001,0
6/3/2020,45001,0
6/4/2020,45001,0
6/5/2020,45001,0
6/6/2020,45001,0
6/7/2020,45001,0
6/8/2020,45001,0
6/9/2020,45001,0
6/10/2020,45001,0
6/11/2020,45001,0
6/12/2020,45001,0
6/13/2020,45001,0
6/14/2020,45001,0
6/15/2020,45001,0
6/16/2020,45001,0
6/17/2020,45001,0
6/18/2020,45001,0
6/19/2020,45001,0
6/20/2020,45001,0
6/21/2020,45001,0
6/22/2020,45001,0
6/23/2020,45001,0
6/24/2020,45001,0
6/25/2020,45001,0
6/26/2020,45001,0
6/27/2020,45001,0
6/28/2020,45001,0
6/29/2020,45001,0
6/30/2020,45001,0
7/1/2020,45001,0
7/2/2020,45001,0
7/3/2020,45001,0
7/4/2020,45001,0
7/5/2020,45001,0
7/6/2020,45001,0
7/7/2020,45001,0
7/8/2020,45001,0
7/9/2020,45001,0
7/10/2020,45001,0
7/11/2020,45001,1
7/12/2020,45001,0
7/13/2020,45001,0
7/14/2020,45001,0
7/15/2020,45001,0
7/16/2020,45001,0
7/17/2020,45001,0
7/18/2020,45001,0
7/19/2020,45001,0
7/20/2020,45001,0
7/21/2020,45001,0
7/22/2020,45001,0
7/23/2020,45001,0
7/24/2020,45001,0
7/25/2020,45001,0
7/26/2020,45001,0
7/27/2020,45001,0
5/29/2020,45002,2
5/30/2020,45002,0
5/31/2020,45002,0
6/1/2020,45002,1
6/2/2020,45002,0
6/3/2020,45002,0
6/4/2020,45002,0
6/5/2020,45002,0
6/6/2020,45002,-1
6/7/2020,45002,0
6/8/2020,45002,0
6/9/2020,45002,0
6/10/2020,45002,0
6/11/2020,45002,0
6/12/2020,45002,0
6/13/2020,45002,0
6/14/2020,45002,0
6/15/2020,45002,0
6/16/2020,45002,0
6/17/2020,45002,0
6/18/2020,45002,0
6/19/2020,45002,0
6/20/2020,45002,0
6/21/2020,45002,0
6/22/2020,45002,0
6/23/2020,45002,0
6/24/2020,45002,0
6/25/2020,45002,0
6/26/2020,45002,0
6/27/2020,45002,0
