Calculated Recovery Date,Zip Code,Frequency
02/05/2020,45248,1
02/11/2020,45227,1
02/12/2020,45233,1
02/13/2020,45244,1
02/15/2020,45236,1
03/08/2020,45231,1
03/11/2020,45224,1
03/13/2020,45215,1
03/18/2020,45206,1
03/21/2020,45205,1
03/21/2020,45247,1
03/23/2020,45238,1
03/23/2020,45246,1
03/23/2020,45383,1
03/24/2020,45209,1
03/24/2020,45215,1
03/25/2020,45202,1
03/26/2020,45202,1
03/27/2020,45014,1
03/28/2020,45030,1
03/28/2020,45213,1
03/28/2020,45215,1
03/28/2020,45240,1
03/28/2020,45243,1
03/29/2020,45205,1
03/29/2020,45224,1
03/29/2020,45238,1
03/30/2020,45212,1
03/30/2020,45240,1
03/31/2020,45227,1
03/31/2020,45237,1
03/31/2020,45244,1
03/31/2020,45251,1
04/01/2020,45030,2
04/01/2020,45208,1
04/01/2020,45213,1
04/01/2020,45220,1
04/01/2020,45237,1
04/02/2020,45002,1
04/02/2020,45230,1
04/02/2020,45238,1
04/02/2020,45249,2
04/02/2020,45251,1
04/03/2020,45002,2
04/03/2020,45206,1
04/03/2020,45209,1
04/03/2020,45224,1
04/03/2020,45229,1
04/03/2020,45238,1
04/03/2020,45240,1
04/03/2020,45242,2
04/03/2020,45243,1
04/03/2020,45244,1
04/03/2020,45251,1
04/04/2020,45002,1
04/04/2020,45140,1
04/04/2020,45204,1
04/04/2020,45206,1
04/04/2020,45208,1
04/04/2020,45211,1
04/04/2020,45223,1
04/04/2020,45224,1
04/04/2020,45236,1
04/04/2020,45237,1
04/04/2020,45238,1
04/04/2020,45240,1
04/04/2020,45243,1
04/04/2020,45244,1
04/04/2020,45246,1
04/04/2020,45249,1
04/04/2020,45255,1
04/05/2020,45206,1
04/05/2020,45208,2
04/05/2020,45217,1
04/05/2020,45224,1
04/05/2020,45225,1
04/05/2020,45231,1
04/05/2020,45238,2
04/05/2020,45241,1
04/05/2020,45243,1
04/05/2020,45244,1
04/05/2020,45247,1
04/05/2020,45249,1
04/06/2020,45140,1
04/06/2020,45207,1
04/06/2020,45209,1
04/06/2020,45213,1
04/06/2020,45214,1
04/06/2020,45215,1
04/06/2020,45220,1
04/06/2020,45224,1
04/06/2020,45227,1
04/06/2020,45231,1
04/06/2020,45238,1
04/06/2020,45242,1
04/06/2020,45243,1
04/06/2020,45246,1
04/06/2020,45247,2
04/06/2020,45248,2
04/06/2020,45252,1
04/06/2020,45255,1
04/07/2020,45002,1
04/07/2020,45030,1
04/07/2020,45207,1
04/07/2020,45209,2
04/07/2020,45211,1
04/07/2020,45213,1
04/07/2020,45215,1
04/07/2020,45220,1
04/07/2020,45224,1
04/07/2020,45226,1
04/07/2020,45230,2
04/07/2020,45231,1
04/07/2020,45241,1
04/07/2020,45243,2
04/07/2020,45247,1
04/07/2020,45248,2
04/08/2020,45209,1
04/08/2020,45214,1
04/08/2020,45215,1
04/08/2020,45219,1
04/08/2020,45220,1
04/08/2020,45227,1
04/08/2020,45237,4
04/08/2020,45238,1
04/08/2020,45240,1
04/08/2020,45241,1
04/08/2020,45249,1
04/08/2020,45251,1
04/09/2020,45030,1
04/09/2020,45208,2
04/09/2020,45211,2
04/09/2020,45215,3
04/09/2020,45219,1
04/09/2020,45224,1
04/09/2020,45230,1
04/09/2020,45231,2
04/09/2020,45237,1
04/09/2020,45238,1
04/09/2020,45240,1
04/09/2020,45251,1
04/10/2020,45052,1
04/10/2020,45217,1
04/10/2020,45224,3
04/10/2020,45233,1
04/10/2020,45238,1
04/10/2020,45241,1
04/10/2020,45242,1
04/10/2020,45244,1
04/10/2020,45247,1
04/10/2020,45248,1
04/11/2020,45205,1
04/11/2020,45211,2
04/11/2020,45213,1
04/11/2020,45217,1
04/11/2020,45219,1
04/11/2020,45224,1
04/11/2020,45226,1
04/11/2020,45227,1
04/11/2020,45229,1
04/11/2020,45231,1
04/11/2020,45232,1
04/11/2020,45236,1
04/11/2020,45237,3
04/11/2020,45238,1
04/11/2020,45239,1
04/11/2020,45242,1
04/11/2020,45247,1
04/11/2020,45251,3
04/12/2020,45002,1
04/12/2020,45030,4
04/12/2020,45205,1
04/12/2020,45211,2
04/12/2020,45212,1
04/12/2020,45215,1
04/12/2020,45219,1
04/12/2020,45220,1
04/12/2020,45224,2
04/12/2020,45229,1
04/12/2020,45230,1
04/12/2020,45231,1
04/12/2020,45233,1
04/12/2020,45239,1
04/12/2020,45247,1
04/12/2020,45248,1
04/12/2020,45251,1
04/12/2020,45255,1
04/13/2020,45030,1
04/13/2020,45140,1
04/13/2020,45205,1
04/13/2020,45206,1
04/13/2020,45208,2
04/13/2020,45215,1
04/13/2020,45217,1
04/13/2020,45224,1
04/13/2020,45226,1
04/13/2020,45227,1
04/13/2020,45230,1
04/13/2020,45231,1
04/13/2020,45239,1
04/13/2020,45240,1
04/13/2020,45241,1
04/13/2020,45242,1
04/13/2020,45247,1
04/13/2020,45248,1
04/13/2020,45249,1
04/13/2020,45251,1
04/14/2020,,1
04/14/2020,45002,1
04/14/2020,45030,2
04/14/2020,45208,1
04/14/2020,45212,1
04/14/2020,45215,1
04/14/2020,45216,1
04/14/2020,45217,1
04/14/2020,45220,1
04/14/2020,45223,1
04/14/2020,45231,2
04/14/2020,45233,2
04/14/2020,45238,1
04/14/2020,45239,1
04/14/2020,45241,2
04/14/2020,45243,1
04/14/2020,45246,1
04/14/2020,45248,1
04/14/2020,45249,1
04/15/2020,45208,1
04/15/2020,45212,2
04/15/2020,45215,2
04/15/2020,45219,2
04/15/2020,45221,1
04/15/2020,45227,1
04/15/2020,45229,1
04/15/2020,45231,3
04/15/2020,45233,1
04/15/2020,45238,4
04/15/2020,45239,1
04/15/2020,45240,1
04/15/2020,45241,1
04/15/2020,45243,1
04/15/2020,45247,1
04/15/2020,45251,1
04/16/2020,45205,1
04/16/2020,45207,1
04/16/2020,45212,1
04/16/2020,45213,1
04/16/2020,45214,1
04/16/2020,45215,2
04/16/2020,45216,1
04/16/2020,45231,3
04/16/2020,45233,1
04/16/2020,45237,1
04/16/2020,45238,1
04/16/2020,45239,1
04/16/2020,45251,2
04/16/2020,45255,1
04/17/2020,45030,2
04/17/2020,45140,1
04/17/2020,45208,1
04/17/2020,45212,1
04/17/2020,45215,2
04/17/2020,45216,1
04/17/2020,45219,2
04/17/2020,45220,1
04/17/2020,45224,2
04/17/2020,45226,1
04/17/2020,45236,1
04/17/2020,45238,2
04/17/2020,45239,1
04/17/2020,45240,2
04/17/2020,45241,1
04/17/2020,45251,4
04/17/2020,45255,1
04/18/2020,45207,1
04/18/2020,45208,2
04/18/2020,45211,1
04/18/2020,45213,1
04/18/2020,45215,4
04/18/2020,45220,1
04/18/2020,45230,1
04/18/2020,45231,3
04/18/2020,45232,2
04/18/2020,45237,2
04/18/2020,45238,1
04/18/2020,45239,1
04/18/2020,45242,2
04/18/2020,45247,1
04/18/2020,45251,1
04/19/2020,45206,1
04/19/2020,45211,2
04/19/2020,45213,1
04/19/2020,45225,1
04/19/2020,45239,1
04/19/2020,45241,1
04/19/2020,45242,1
04/19/2020,45246,2
04/19/2020,45251,2
04/20/2020,45002,1
04/20/2020,45140,2
04/20/2020,45207,1
04/20/2020,45208,1
04/20/2020,45209,1
04/20/2020,45211,2
04/20/2020,45220,1
04/20/2020,45224,1
04/20/2020,45229,1
04/20/2020,45230,3
04/20/2020,45231,2
04/20/2020,45236,2
04/20/2020,45238,1
04/20/2020,45240,1
04/20/2020,45241,1
04/20/2020,45246,1
04/20/2020,45247,1
04/20/2020,45249,1
04/20/2020,45255,1
04/21/2020,45030,1
04/21/2020,45211,1
04/21/2020,45223,1
04/21/2020,45224,1
04/21/2020,45227,1
04/21/2020,45231,2
04/21/2020,45233,1
04/21/2020,45237,1
04/21/2020,45238,2
04/21/2020,45240,3
04/21/2020,45241,1
04/21/2020,45242,1
04/21/2020,45247,1
04/21/2020,45249,1
04/21/2020,45251,1
04/22/2020,45002,1
04/22/2020,45030,1
04/22/2020,45205,2
04/22/2020,45211,3
04/22/2020,45212,2
04/22/2020,45213,1
04/22/2020,45219,1
04/22/2020,45223,1
04/22/2020,45224,2
04/22/2020,45225,1
04/22/2020,45232,1
04/22/2020,45236,4
04/22/2020,45237,1
04/22/2020,45238,1
04/22/2020,45239,2
04/22/2020,45240,2
04/22/2020,45242,2
04/22/2020,45246,1
04/22/2020,45251,2
04/23/2020,45030,2
04/23/2020,45205,1
04/23/2020,45206,1
04/23/2020,45207,2
04/23/2020,45211,2
04/23/2020,45214,1
04/23/2020,45224,1
04/23/2020,45229,1
04/23/2020,45231,1
04/23/2020,45239,2
04/23/2020,45241,1
04/23/2020,45246,1
04/23/2020,45251,1
04/24/2020,45030,1
04/24/2020,45204,1
04/24/2020,45205,4
04/24/2020,45207,1
04/24/2020,45209,1
04/24/2020,45211,1
04/24/2020,45213,2
04/24/2020,45215,1
04/24/2020,45224,1
04/24/2020,45230,2
04/24/2020,45231,1
04/24/2020,45237,1
04/24/2020,45238,2
04/24/2020,45240,2
04/24/2020,45242,4
04/24/2020,45243,1
04/24/2020,45247,1
04/24/2020,45251,6
04/25/2020,45207,1
04/25/2020,45211,1
04/25/2020,45212,1
04/25/2020,45237,2
04/25/2020,45240,2
04/25/2020,45251,1
04/26/2020,45030,1
04/26/2020,45209,1
04/26/2020,45213,1
04/26/2020,45215,1
04/26/2020,45217,1
04/26/2020,45231,1
04/26/2020,45237,2
04/26/2020,45240,3
04/26/2020,45241,2
04/26/2020,45246,1
04/27/2020,45030,2
04/27/2020,45205,1
04/27/2020,45208,1
04/27/2020,45209,1
04/27/2020,45211,2
04/27/2020,45212,1
04/27/2020,45213,1
04/27/2020,45215,2
04/27/2020,45216,1
04/27/2020,45231,3
04/27/2020,45236,1
04/27/2020,45238,1
04/27/2020,45240,4
04/27/2020,45247,1
04/27/2020,45251,1
04/28/2020,45203,1
04/28/2020,45209,1
04/28/2020,45212,4
04/28/2020,45213,2
04/28/2020,45215,2
04/28/2020,45218,1
04/28/2020,45224,1
04/28/2020,45225,1
04/28/2020,45229,1
04/28/2020,45232,1
04/28/2020,45233,1
04/28/2020,45237,1
04/28/2020,45239,2
04/28/2020,45240,5
04/28/2020,45241,4
04/28/2020,45247,1
04/28/2020,45248,1
04/29/2020,45205,1
04/29/2020,45208,1
04/29/2020,45209,1
