Date,ZIP Code,Number of Cases
2/15/2021,45002,5
2/15/2021,45030,17
2/15/2021,45140,12
2/15/2021,45174,3
2/15/2021,45202,11
2/15/2021,45203,1
2/15/2021,45204,4
2/15/2021,45205,8
2/15/2021,45206,5
2/15/2021,45207,5
2/15/2021,45208,13
2/15/2021,45209,5
2/15/2021,45211,22
2/15/2021,45212,14
2/15/2021,45213,13
2/15/2021,45214,4
2/15/2021,45215,16
2/15/2021,45216,4
2/15/2021,45217,1
2/15/2021,45218,5
2/15/2021,45219,8
2/15/2021,45220,2
2/15/2021,45223,10
2/15/2021,45224,8
2/15/2021,45225,2
2/15/2021,45226,3
2/15/2021,45227,10
2/15/2021,45229,8
2/15/2021,45230,18
2/15/2021,45231,19
2/15/2021,45232,3
2/15/2021,45233,9
2/15/2021,45236,20
2/15/2021,45237,22
2/15/2021,45238,33
2/15/2021,45239,15
2/15/2021,45240,22
2/15/2021,45241,4
2/15/2021,45242,11
2/15/2021,45243,16
2/15/2021,45244,6
2/15/2021,45246,6
2/15/2021,45247,15
2/15/2021,45248,14
2/15/2021,45249,16
2/15/2021,45251,12
2/15/2021,45252,5
2/15/2021,45255,10
2/16/2021,45002,6
2/16/2021,45030,12
2/16/2021,45140,7
2/16/2021,45174,4
2/16/2021,45202,9
2/16/2021,45203,1
2/16/2021,45204,1
2/16/2021,45205,7
2/16/2021,45206,7
2/16/2021,45207,4
2/16/2021,45208,8
2/16/2021,45209,2
2/16/2021,45211,21
2/16/2021,45212,19
2/16/2021,45213,10
2/16/2021,45214,5
2/16/2021,45215,14
2/16/2021,45216,5
2/16/2021,45217,4
2/16/2021,45218,2
2/16/2021,45219,3
2/16/2021,45220,3
2/16/2021,45221,1
2/16/2021,45223,1
2/16/2021,45224,13
2/16/2021,45225,1
2/16/2021,45226,1
2/16/2021,45227,3
2/16/2021,45229,5
2/16/2021,45230,15
2/16/2021,45231,25
2/16/2021,45232,2
2/16/2021,45233,10
2/16/2021,45236,12
2/16/2021,45237,7
2/16/2021,45238,25
2/16/2021,45239,17
2/16/2021,45240,20
2/16/2021,45241,11
2/16/2021,45242,15
2/16/2021,45243,8
2/16/2021,45244,9
2/16/2021,45246,2
2/16/2021,45247,10
2/16/2021,45248,13
2/16/2021,45249,7
2/16/2021,45251,12
2/16/2021,45252,1
2/16/2021,45255,9
2/16/2021,45262,1
2/17/2021,45002,6
2/17/2021,45013,1
2/17/2021,45030,10
2/17/2021,45140,9
2/17/2021,45202,11
2/17/2021,45203,2
2/17/2021,45205,7
2/17/2021,45206,1
2/17/2021,45207,5
2/17/2021,45208,6
2/17/2021,45209,5
2/17/2021,45211,19
2/17/2021,45212,9
2/17/2021,45213,7
2/17/2021,45214,4
2/17/2021,45215,16
2/17/2021,45216,2
2/17/2021,45217,5
2/17/2021,45218,2
2/17/2021,45219,6
2/17/2021,45220,10
2/17/2021,45223,8
2/17/2021,45224,12
2/17/2021,45225,4
2/17/2021,45226,3
2/17/2021,45227,5
2/17/2021,45229,5
2/17/2021,45230,16
2/17/2021,45231,12
2/17/2021,45232,2
2/17/2021,45233,3
2/17/2021,45236,14
2/17/2021,45237,11
2/17/2021,45238,30
2/17/2021,45239,21
2/17/2021,45240,11
2/17/2021,45241,8
2/17/2021,45242,11
2/17/2021,45243,12
2/17/2021,45244,9
2/17/2021,45246,4
2/17/2021,45247,8
2/17/2021,45248,13
2/17/2021,45249,2
2/17/2021,45251,14
2/17/2021,45252,2
2/17/2021,45255,7
2/17/2021,45267,1
2/18/2021,45001,2
2/18/2021,45002,12
2/18/2021,45030,9
2/18/2021,45051,1
2/18/2021,45052,1
2/18/2021,45140,12
2/18/2021,45202,7
2/18/2021,45203,3
2/18/2021,45205,8
2/18/2021,45206,8
2/18/2021,45207,5
2/18/2021,45208,9
2/18/2021,45209,3
2/18/2021,45211,16
2/18/2021,45212,6
2/18/2021,45213,2
2/18/2021,45214,4
2/18/2021,45215,9
2/18/2021,45216,2
2/18/2021,45217,6
2/18/2021,45218,1
2/18/2021,45219,10
2/18/2021,45220,5
2/18/2021,45223,3
2/18/2021,45224,9
2/18/2021,45225,2
2/18/2021,45226,2
2/18/2021,45227,7
2/18/2021,45229,3
2/18/2021,45230,9
2/18/2021,45231,17
2/18/2021,45232,2
2/18/2021,45233,10
2/18/2021,45236,13
2/18/2021,45237,9
2/18/2021,45238,20
2/18/2021,45239,13
2/18/2021,45240,12
2/18/2021,45241,8
2/18/2021,45242,7
2/18/2021,45243,11
2/18/2021,45244,8
2/18/2021,45246,6
2/18/2021,45247,9
2/18/2021,45248,14
2/18/2021,45249,10
2/18/2021,45251,11
2/18/2021,45252,6
2/18/2021,45255,10
2/19/2021,45002,4
2/19/2021,45030,12
2/19/2021,45140,9
2/19/2021,45174,2
2/19/2021,45202,4
2/19/2021,45203,1
2/19/2021,45204,2
2/19/2021,45205,8
2/19/2021,45206,3
2/19/2021,45207,5
2/19/2021,45208,9
2/19/2021,45209,5
2/19/2021,45211,21
2/19/2021,45212,9
2/19/2021,45213,8
2/19/2021,45214,13
2/19/2021,45215,15
2/19/2021,45216,1
2/19/2021,45217,1
2/19/2021,45218,1
2/19/2021,45220,5
2/19/2021,45221,2
2/19/2021,45223,7
2/19/2021,45224,9
2/19/2021,45225,5
2/19/2021,45226,5
2/19/2021,45227,9
2/19/2021,45229,6
2/19/2021,45230,9
2/19/2021,45231,20
2/19/2021,45232,3
2/19/2021,45233,8
2/19/2021,45236,12
2/19/2021,45237,14
2/19/2021,45238,13
2/19/2021,45239,11
2/19/2021,45240,12
2/19/2021,45241,8
2/19/2021,45242,9
2/19/2021,45243,13
2/19/2021,45244,5
2/19/2021,45246,7
2/19/2021,45247,13
2/19/2021,45248,6
2/19/2021,45251,8
2/19/2021,45252,2
2/19/2021,45255,9
2/20/2021,45002,1
2/20/2021,45030,11
2/20/2021,45052,2
2/20/2021,45140,4
2/20/2021,45174,2
2/20/2021,45202,5
2/20/2021,45204,1
2/20/2021,45205,1
2/20/2021,45206,1
2/20/2021,45207,7
2/20/2021,45208,5
2/20/2021,45209,4
2/20/2021,45211,9
2/20/2021,45213,3
2/20/2021,45214,3
2/20/2021,45215,8
2/20/2021,45217,3
2/20/2021,45219,7
2/20/2021,45220,2
2/20/2021,45221,1
2/20/2021,45223,1
2/20/2021,45224,5
2/20/2021,45225,1
2/20/2021,45226,2
2/20/2021,45227,7
2/20/2021,45229,3
2/20/2021,45230,7
2/20/2021,45231,12
2/20/2021,45232,1
2/20/2021,45233,3
2/20/2021,45236,8
2/20/2021,45237,6
2/20/2021,45238,8
2/20/2021,45239,8
2/20/2021,45240,5
2/20/2021,45241,5
2/20/2021,45242,11
2/20/2021,45243,10
2/20/2021,45244,9
2/20/2021,45246,6
2/20/2021,45247,6
